npoints,time,amount_of_fails,start,end,start_label,end_label
400,16.842028200044297,0,[500 350],[ 50 220],driveway,br1
400,16.53722669999115,0,[320 280],[220  50],nook,study
400,17.082488999934867,0,[320  50],[100 350],mudroom,garden
400,16.172601100057364,0,[220 200],[50 50],living,br3
400,32.31278799998108,1,[ 50 220],[100 350],br1,garden
400,16.99343059991952,0,[500 150],[200 350],garage,patio
400,16.2609691999387,0,[320 280],[500 350],nook,driveway
400,16.328398499987088,0,[320 190],[50 50],kitchen,br3
400,16.399267200031318,0,[100 350],[500 150],garden,garage
400,16.577626600046642,0,[500 150],[120  50],garage,br2
400,31.521041300031357,1,[50 50],[120  50],br3,br2
400,16.237152000074275,0,[ 50 220],[50 50],br1,br3
400,16.382563299965113,0,[220 200],[100 350],living,garden
400,16.6199551000027,0,[50 50],[320  50],br3,mudroom
400,16.06917649996467,0,[100 350],[500 150],garden,garage
400,17.21503390010912,0,[320 190],[200 350],kitchen,patio
400,16.671667000046,0,[320 190],[220  50],kitchen,study
400,16.76129639998544,0,[120  50],[50 50],br2,br3
400,16.52612950000912,0,[320 190],[500 350],kitchen,driveway
400,16.722922699991614,0,[500 150],[220  50],garage,study
400,16.81156689999625,0,[320 190],[100 350],kitchen,garden
400,16.778481899993494,0,[100 350],[220 200],garden,living
400,15.241012300015427,0,[50 50],[320 190],br3,kitchen
400,15.39030090009328,0,[500 350],[500 150],driveway,garage
400,31.646591300028376,1,[ 50 220],[100 350],br1,garden
400,16.60039969999343,0,[220  50],[220 200],study,living
400,16.67566770000849,0,[320 280],[500 350],nook,driveway
400,15.879343300010078,0,[500 350],[220 200],driveway,living
400,16.104230500059202,0,[220 200],[50 50],living,br3
400,16.53527629992459,0,[220 200],[320 190],living,kitchen
400,16.111525600077584,0,[500 350],[320  50],driveway,mudroom
400,16.744306599954143,0,[320 280],[120  50],nook,br2
400,16.238518099999055,0,[500 350],[200 350],driveway,patio
400,16.306407200056128,0,[200 350],[320 190],patio,kitchen
400,15.300597799941897,0,[500 150],[320  50],garage,mudroom
400,15.83721130003687,0,[220  50],[220 200],study,living
400,15.801368599990383,0,[220  50],[220 200],study,living
400,15.811874600010924,0,[100 350],[500 350],garden,driveway
400,30.553264299989678,1,[500 350],[320 280],driveway,nook
400,15.982000000076368,0,[500 150],[100 350],garage,garden
400,15.417833599960431,0,[220  50],[ 50 220],study,br1
500,26.12246350001078,0,[220  50],[ 50 220],study,br1
500,53.02954110002611,1,[200 350],[320 280],patio,nook
500,24.900538100046106,0,[50 50],[220 200],br3,living
500,51.52205579995643,1,[220 200],[320 190],living,kitchen
500,24.93117579992395,0,[320 190],[220 200],kitchen,living
500,26.17035529995337,0,[200 350],[320  50],patio,mudroom
500,26.586517599993385,0,[320 190],[120  50],kitchen,br2
500,24.94437939999625,0,[120  50],[220  50],br2,study
500,27.055803499999456,0,[500 350],[220  50],driveway,study
500,26.741730900015682,0,[ 50 220],[50 50],br1,br3
500,25.044563699979335,0,[500 350],[220 200],driveway,living
500,52.54307310003787,1,[120  50],[320  50],br2,mudroom
500,25.881855199928395,0,[200 350],[ 50 220],patio,br1
500,25.16446940007154,0,[120  50],[500 350],br2,driveway
500,26.763993500033394,0,[120  50],[ 50 220],br2,br1
500,26.664713999954984,0,[320 280],[50 50],nook,br3
500,25.442880899994634,0,[220 200],[500 350],living,driveway
500,24.316901199985296,0,[320  50],[ 50 220],mudroom,br1
500,25.386656200047582,0,[ 50 220],[50 50],br1,br3
500,24.498319200007245,0,[320 190],[500 350],kitchen,driveway
500,26.926168799982406,0,[320 190],[ 50 220],kitchen,br1
500,25.16215980006382,0,[ 50 220],[500 150],br1,garage
500,26.55947970005218,0,[500 350],[320 280],driveway,nook
500,26.825623599928804,0,[320 190],[500 350],kitchen,driveway
500,25.52096990006976,0,[200 350],[320 190],patio,kitchen
500,25.10763749992475,0,[320 190],[500 350],kitchen,driveway
500,24.553149199928157,0,[500 150],[200 350],garage,patio
500,24.987298000021838,0,[500 350],[100 350],driveway,garden
500,25.232474700082093,0,[320  50],[320 280],mudroom,nook
500,24.77693199994974,0,[220  50],[220 200],study,living
500,26.70557580003515,0,[ 50 220],[320 280],br1,nook
500,25.065896700019948,0,[220  50],[500 350],study,driveway
500,25.124211699934676,0,[320 280],[100 350],nook,garden
500,24.517864900059067,0,[320 280],[320 190],nook,kitchen
500,26.934723199927248,0,[100 350],[50 50],garden,br3
500,25.237153099966235,0,[100 350],[320 190],garden,kitchen
500,24.951652300078422,0,[320 280],[320  50],nook,mudroom
500,25.453495500027202,0,[100 350],[320 190],garden,kitchen
500,51.35731200000737,1,[200 350],[ 50 220],patio,br1
500,25.847733599948697,0,[220 200],[120  50],living,br2
500,25.333884999970905,0,[320  50],[500 150],mudroom,garage
500,50.82731560000684,1,[200 350],[500 150],patio,garage
500,24.378465799964033,0,[220 200],[220  50],living,study
500,24.0645133999642,0,[200 350],[100 350],patio,garden
500,26.955629299976863,0,[200 350],[50 50],patio,br3
500,26.550003899959847,0,[320  50],[320 280],mudroom,nook
500,25.685012700036168,0,[500 350],[50 50],driveway,br3
500,23.96889000001829,0,[500 150],[320 190],garage,kitchen
500,25.516607100027613,0,[320 190],[320  50],kitchen,mudroom
500,26.03351990005467,0,[320 280],[320 190],nook,kitchen
600,36.65730670001358,0,[220  50],[100 350],study,garden
600,37.184132499969564,0,[320 190],[220 200],kitchen,living
600,36.683764899964444,0,[500 150],[220  50],garage,study
600,38.83087000006344,0,[220  50],[200 350],study,patio
600,36.90993990004063,0,[320 280],[500 350],nook,driveway
600,36.625933600007556,0,[220  50],[500 150],study,garage
600,36.791282600024715,0,[ 50 220],[50 50],br1,br3
600,37.15310210001189,0,[50 50],[320 280],br3,nook
